airport	ITM	airport	CTS	domestic
airport	MVD	airport	PDP	domestic
airport	PER	airport	BME	domestic
airport	FUK	airport	HND	domestic
airport	SYD	airport	ASP	domestic
airport	BIO	airport	MAD	domestic
airport	DFW	airport	ATL	domestic
airport	DTW	airport	CLT	domestic
airport	MSY	airport	CLT	domestic
airport	LAS	airport	CLT	domestic
airport	PWM	airport	CLT	domestic
airport	LAX	airport	CMH	domestic
airport	HNL	airport	DFW	domestic
airport	OMA	airport	DFW	domestic
airport	MIA	airport	EWR	domestic
airport	PHX	airport	IAH	domestic
airport	STL	airport	DFW	domestic
airport	PHX	airport	DTW	domestic
airport	PHL	airport	LGA	domestic
airport	MIA	airport	LGA	domestic
airport	LIH	airport	LAX	domestic
airport	ATL	airport	ORD	domestic
airport	PIT	airport	PHX	domestic
airport	BOS	airport	CLT	domestic
airport	PHX	airport	PDX	domestic
airport	CLT	airport	LGA	domestic
airport	CMH	airport	LAX	domestic
airport	DCA	airport	JFK	domestic
airport	DFW	airport	ICT	domestic
airport	DCA	airport	TPA	domestic
airport	DFW	airport	ORD	domestic
airport	JFK	airport	SAN	domestic
airport	DFW	airport	TPA	domestic
airport	IAH	airport	PHL	domestic
airport	LAX	airport	MCO	domestic
airport	LAX	airport	OGG	domestic
airport	ORD	airport	SFO	domestic
airport	ORD	airport	SLC	domestic
airport	PHX	airport	SEA	domestic
airport	HND	airport	HIJ	domestic
airport	NRT	airport	FUK	domestic
airport	KUH	airport	HND	domestic
airport	KMQ	airport	HND	domestic
airport	SYD	airport	ADL	domestic
airport	PER	airport	DRW	domestic
airport	MEL	airport	BME	domestic
airport	CTS	airport	KIX	domestic
airport	KMQ	airport	OKA	domestic
airport	NGO	airport	OKA	domestic
airport	LHR	airport	EDI	domestic
airport	ZRH	airport	GVA	domestic
airport	ADL	airport	DRW	domestic
airport	CBR	airport	PER	domestic
airport	ASP	airport	SYD	domestic
airport	ABZ	airport	LHR	domestic
airport	LAX	airport	BDL	domestic
airport	PHL	airport	AUS	domestic
airport	HEL	airport	OUL	domestic
airport	DFW	airport	BOI	domestic
airport	MIA	airport	BOS	domestic
airport	CLT	airport	BUF	domestic
airport	PHL	airport	BOS	domestic
airport	JFK	airport	DCA	domestic
airport	SYR	airport	CLT	domestic
airport	RSW	airport	DFW	domestic
airport	RIC	airport	DFW	domestic
airport	PHX	airport	DFW	domestic
airport	MIA	airport	IAD	domestic
airport	ORD	airport	LAS	domestic
airport	TPA	airport	MIA	domestic
airport	BDL	airport	MIA	domestic
airport	STL	airport	MIA	domestic
airport	BOS	airport	PHX	domestic
airport	SLC	airport	ORD	domestic
airport	CLT	airport	JAX	domestic
airport	TUS	airport	ORD	domestic
airport	CLT	airport	LAS	domestic
airport	STL	airport	PHX	domestic
airport	DCA	airport	MIA	domestic
airport	CLT	airport	SAN	domestic
airport	DEN	airport	LAX	domestic
airport	DFW	airport	LGA	domestic
airport	DFW	airport	IAD	domestic
airport	EWR	airport	PHX	domestic
airport	DTW	airport	PHX	domestic
airport	LAX	airport	SEA	domestic
airport	LGA	airport	PHL	domestic
airport	LGA	airport	ORD	domestic
